        Frequency / GHz                r=25/real
----------------------------------------------------------------------
                       0                      -40.803982
                    0.15                      -9.5983729
                     0.3                      0.16662128
                    0.45                     -0.12712223
                     0.6                       3.7199719
                    0.75                       5.2916755
                     0.9                       6.6988227
                    1.05                       6.4815928
                     1.2                        6.784563
                    1.35                        6.963098
                     1.5                       4.8308622
                    1.65                       5.6462066
                     1.8                       6.4726952
                    1.95                      6.43980503
                     2.1                       2.3409766
                    2.25                       1.2476158
                     2.4                       1.0158015
                    2.55                       1.4979222
                     2.7                       2.0476125
                    2.85                       2.6156388
                       3                       3.8906686

        Frequency / GHz                r=10/real
----------------------------------------------------------------------
                       0                      -28.817046
                    0.15                      -7.8259223
                     0.3                      -2.5299662
                    0.45                       -1.230807
                     0.6                       4.3894442
                    0.75                       5.0592429
                     0.9                       6.7158555
                    1.05                       6.2242762
                     1.2                        8.037315
                    1.35                       8.1136859
                     1.5                       1.8545836
                    1.65                      4.56757415
                     1.8                       6.6879779
                    1.95                       6.0058366
                     2.1                       4.6053296
                    2.25                       1.9106371
                     2.4                       1.2601591
                    2.55                      0.45860937
                     2.7                        3.313213
                    2.85                       3.3588005
                       3                       3.5807407

